siparis_id,musteri_adi,sehir,fiyat,adet,tarih,kategori
10001,ahmet yılmaz,istanbul,3881.08,8,2024-01-01 00:00:00,?
10002,AYŞE KAYA,Ankara,2222.45,7,2024-01-01 03:00:00,Merkaz
10003,Mehmet  Demir,İZMİR,4300.06,6,2024 01 06:00:00,Gym
10004, Fatma Şahin,bursa,3501.97,8,2024-01-01 09:00:00,Giyim
10005,ahmet yılmaz,Istanbul,516.18,2,2024-01-01 12:00:00,Ev
10006,AYŞE KAYA,istanbul,4879.33,9,2024-01-01 15:00:00,Giyim
10007,Mehmet  Demir,Ankara,3817.64,8,2024-01-01 18:00:00,N/A
10008, Fatma Şahin,İZMİR,3941.02,5,2024-01-01 21:00:00,Ev
10009,ahmet yılmaz,bursa,684.16,7,2024-01-02 00:00:00,N/A
10010,AYŞE KAYA,Istanbul,2279.41,5,2024-01-02 03:00:00,?
10011,Mehmet  Demir,istanbul,1885.45,3,2024-01-02 06:00:00,Giyim
10012, Fatma Şahin,Ankara,4637.49,8,2024-01-02 09:00:00,Giyim
10013,ahmet yılmaz,İZMİR,3237.13,3,2024-01-02 12:00:00,?
10014,AYŞE KAYA,bursa,4122.67,3,2024-01-02 15:00:00,Giyim
10015,Mehmet  Demir,Istanbul,2244.9,5,2024-01-02 18:00:00,Giyim
10016, Fatma Şahin,istanbul,1174.83,8,2024-01-02 21:00:00,N/A
10017,ahmet yılmaz,Ankara,2795.19,4,2024-01-03 00:00:00,Ev
10018,AYŞE KAYA,İZMİR,365.9,5,2024-01-03 03:00:00,Elektronik
10019,Mehmet  Demir,bursa,4146.77,1,2024-01-03 06:00:00,Ev
10020, Fatma Şahin,Istanbul,3176.74,2,2024-01-03 09:00:00,Ev
10021,ahmet yılmaz,istanbul,,1,2024-01-03 12:00:00,N/A
10022,AYŞE KAYA,Ankara,1804.9,1,2024-01-03 15:00:00,?
10023,Mehmet  Demir,İZMİR,4854.96,8,2024-01-03 18:00:00,Elk
10024, Fatma Şahin,bursa,4470.95,8,2024-01-03 21:00:00,Elektronik
10025,ahmet yılmaz,Istanbul,3903.0,8,2024-01-04 00:00:00,?
10026,AYŞE KAYA,istanbul,1013.46,1,2024-01-04 03:00:00,Elektronik
10027,Mehmet  Demir,Ankara,2360.27,1,2024-01-04 06:00:00,Giyim
10028, Fatma Şahin,İZMİR,266.83,3,2024-01-04 09:00:00,Elektronik
10029,ahmet yılmaz,bursa,813.73,6,2024-01-04 12:00:00,Elektronik
10030,AYŞE KAYA,Istanbul,3431.09,4,2024-01-04 15:00:00,N/A
10031,Mehmet  Demir,istanbul,3736.57,5,2024-01-04 18:00:00,Elektronik
10032, Fatma Şahin,Ankara,,2,2024-01-04 21:00:00,Elektronik
10033,ahmet yılmaz,İZMİR,1662.84,7,2024-01-05 00:00:00,N/A
10034,AYŞE KAYA,bursa,1883.78,3,2024-01-05 03:00:00,Elektronik
10035,Mehmet  Demir,Istanbul,2374.3,1,2024-01-05 06:00:00,N/A
10036, Fatma Şahin,istanbul,987.88,7,2024-01-05 09:00:00,Elek
10037,ahmet yılmaz,Ankara,,9,2024-01-05 12:00:00,Elektronik
10038,AYŞE KAYA,İZMİR,2404.74,1,2024-01-05 15:00:00,Elekt
10039,Mehmet  Demir,bursa,1173.2,4,2024-01-05 18:00:00,?
10040, Fatma Şahin,Istanbul,3365.58,8,2024-01-05 21:00:00,?
10041,ahmet yılmaz,istanbul,2213.9,7,2024-01-06 00:00:00,Ev
10042,AYŞE KAYA,Ankara,4171.76,8,2024-01-06 03:00:00,Giyim
10043,Mehmet  Demir,İZMİR,3516.31,4,2024-01-06 06:00:00,Elektronik
10044, Fatma Şahin,bursa,1596.21,4,2024-01-06 09:00:00,Ev
10045,ahmet yılmaz,Istanbul,4169.69,7,2024-01-06 12:00:00,Giyim
10046,AYŞE KAYA,istanbul,,2,2024-01-06 15:00:00,Ev
10047,Mehmet  Demir,Ankara,1968.02,3,2024-01-06 18:00:00,?
10048, Fatma Şahin,İZMİR,1477.22,6,2024-01-06 21:00:00,N/A
10049,ahmet yılmaz,bursa,3428.35,7,2024-01-07 00:00:00,Ev
10050,AYŞE KAYA,Istanbul,741.77,2,2024-01-07 03:00:00,Elektronik
10051,Mehmet  Demir,istanbul,1039.55,5,2024-01-07 06:00:00,Giyim
10052, Fatma Şahin,Ankara,86.44,4,2024-01-07 09:00:00,N/A
10053,ahmet yılmaz,İZMİR,3945.28,5,2024-01-07 12:00:00,Ev
10054,AYŞE KAYA,bursa,3341.01,9,2024-01-07 15:00:00,?
10055,Mehmet  Demir,Istanbul,3540.57,1,2024-01-07 18:00:00,Ev
10056, Fatma Şahin,istanbul,3914.61,9,2024-01-07 21:00:00,Elektronik
10057,ahmet yılmaz,Ankara,2321.63,5,2024-01-08 00:00:00,N/A
10058,AYŞE KAYA,İZMİR,2865.27,7,2024-01-08 03:00:00,?
10059,Mehmet  Demir,bursa,742.0,4,2024-01-08 06:00:00,N/A
10060, Fatma Şahin,Istanbul,616.92,3,2024-01-08 09:00:00,N/A
10061,ahmet yılmaz,istanbul,3358.59,7,2024-01-08 12:00:00,Giyim
10062,AYŞE KAYA,Ankara,2381.93,7,2024-01-08 15:00:00,Giyim
10063,Mehmet  Demir,İZMİR,2847.92,2,2024-01-08 18:00:00,Giyim
10064, Fatma Şahin,bursa,3836.74,7,2024-01-08 21:00:00,N/A
10065,ahmet yılmaz,Istanbul,,7,2024-01-09 00:00:00,Ev
10066,AYŞE KAYA,istanbul,2790.22,4,2024-01-09 03:00:00,Ev
10067,Mehmet  Demir,Ankara,2818.08,9,2024-01-09 06:00:00,N/A
10068, Fatma Şahin,İZMİR,1554.55,6,2024-01-09 09:00:00,?
10069,ahmet yılmaz,bursa,202.55,4,2024-01-09 12:00:00,N/A
10070,AYŞE KAYA,Istanbul,2211.75,1,2024-01-09 15:00:00,N/A
10071,Mehmet  Demir,istanbul,1112.19,7,2024-01-09 18:00:00,Elektronik
10072, Fatma Şahin,Ankara,2072.22,2,2024-01-09 21:00:00,Giyim
10073,ahmet yılmaz,İZMİR,4274.35,7,2024-01-10 00:00:00,?
10074,AYŞE KAYA,bursa,1208.0,5,2024-01-10 03:00:00,N/A
10075,Mehmet  Demir,Istanbul,338.6,5,2024-01-10 06:00:00,
10076, Fatma Şahin,istanbul,1442.85,2,2024-01-10 09:00:00,Giyim
10077,ahmet yılmaz,Ankara,,7,2024-01-10 12:00:00,Ev
10078,AYŞE KAYA,İZMİR,3326.49,2,2024-01-10 15:00:00,?
10079,Mehmet  Demir,bursa,2807.31,4,2024-01-10 18:00:00,Elektronik
10080, Fatma Şahin,Istanbul,3930.3,8,2024-01-10 21:00:00,?
10081,ahmet yılmaz,istanbul,3338.35,9,2024-01-11 00:00:00,Giyim
10082,AYŞE KAYA,Ankara,2061.61,9,2024-01-11 03:00:00,Giyim
10083,Mehmet  Demir,İZMİR,4079.4,9,2024-01-11 06:00:00,Ev
10084, Fatma Şahin,bursa,876.52,6,2024-01-11 09:00:00,Ev
10085,ahmet yılmaz,Istanbul,162.42,2,2024-01-11 12:00:00,?
10086,AYŞE KAYA,istanbul,495.74,8,2024-01-11 15:00:00,Giyim
10087,,Ankara,3625.68,8,2024-01-11 18:00:00,N/A
10088, Fatma Şahin,İZMİR,2336.29,9,2024-01-11 21:00:00,Elektronik
10089,ahmet yılmaz,bursa,,6,2024-01-12 00:00:00,N/A
10090,AYŞE KAYA,Istanbul,2530.17,2,2024-01-12 03:00:00,Elektronik
10091,Mehmet  Demir,istanbul,803.94,5,2024-01-12 06:00:00,?
10092, Fatma Şahin,Ankara,3496.79,5,2024-01-12 09:00:00,Giyim
10093,ahmet yılmaz,İZMİR,2258.47,8,2024-01-12 12:00:00,Giyim
10094,AYŞE KAYA,bursa,1936.06,4,2024-01-12 15:00:00,Elektronik
10095,Mehmet  Demir,Istanbul,1542.48,3,2024-01-12 18:00:00,
10096, Fatma Şahin,istanbul,3169.9,1,2024-01-12 21:00:00,Elektronik
10097,ahmet yılmaz,Ankara,1840.97,8,2024-01-13 00:00:00,?
10098,AYŞE KAYA,İZMİR,483.87,7,2024-01-13 03:00:00,?
10099,Mehmet  Demir,bursa,634.13,1,2024-01-13 06:00:00,N/A
10100, Fatma Şahin,Istanbul,4811.39,4,2024-01-13 09:00:00,?
10101,ahmet yılmaz,istanbul,4547.47,5,2024-01-13 12:00:00,Giyim
10102,AYŞE KAYA,Ankara,3513.55,5,2024-01-13 15:00:00,?
10103,Mehmet  Demir,İZMİR,1366.06,9,2024-01-13 18:00:00,N/A
10104, Fatma Şahin,bursa,4847.42,2,2024-01-13 21:00:00,Giyim
10105,ahmet yılmaz,Istanbul,3904.82,3,2024-01-14 00:00:00,Elektronik
10106,AYŞE KAYA,istanbul,3598.61,2,2024-01-14 03:00:00,N/A
10107,Mehmet  Demir,Ankara,2274.34,3,2024-01-14 06:00:00,Elektronik
10108, Fatma Şahin,İZMİR,1397.6,9,2024-01-14 09:00:00,Ev
10109,ahmet yılmaz,bursa,527.14,9,2024-01-14 12:00:00,Giyim
10110,AYŞE KAYA,Istanbul,4517.88,1,2024-01-14 15:00:00,Elektronik
10111,Mehmet  Demir,istanbul,2306.09,6,2024-01-14 18:00:00,?
10112, Fatma Şahin,Ankara,1051.7,3,2024-01-14 21:00:00,Elektronik
10113,ahmet yılmaz,İZMİR,1564.49,2,2024-01-15 00:00:00,?
10114,AYŞE KAYA,bursa,2917.14,3,2024-01-15 03:00:00,?
10115,Mehmet  Demir,Istanbul,925.03,2,2024-01-15 06:00:00,Elektronik
10116, Fatma Şahin,istanbul,4290.24,5,2024-01-15 09:00:00,Elektronik
10117,ahmet yılmaz,Ankara,3804.67,9,2024-01-15 12:00:00,?
10118,AYŞE KAYA,İZMİR,3611.34,6,2024-01-15 15:00:00,Ev
10119,Mehmet  Demir,bursa,2188.86,7,2024-01-15 18:00:00,Elektronik
10120, Fatma Şahin,Istanbul,3155.18,5,2024-01-15 21:00:00,N/A
10121,ahmet yılmaz,istanbul,2941.28,1,2024-01-16 00:00:00,Giyim
10122,AYŞE KAYA,Ankara,3266.74,1,2024-01-16 03:00:00,Elektronik
10123,Mehmet  Demir,İZMİR,468.0,3,2024-01-16 06:00:00,N/A
10124, Fatma Şahin,bursa,2108.25,3,2024-01-16 09:00:00,Elektronik
10125,ahmet yılmaz,Istanbul,255.99,8,2024-01-16 12:00:00,Ev
10126,AYŞE KAYA,istanbul,2495.25,8,2024-01-16 15:00:00,N/A
10127,Mehmet  Demir,Ankara,1682.81,8,2024-01-16 18:00:00,Ev
10128, Fatma Şahin,İZMİR,765.39,6,2024-01-16 21:00:00,Ev
10129,ahmet yılmaz,bursa,561.84,6,2024-01-17 00:00:00,Giyim
10130,AYŞE KAYA,Istanbul,2958.84,6,2024-01-17 03:00:00,Elektronik
10131,Mehmet  Demir,istanbul,894.44,4,2024-01-17 06:00:00,Ev
10132, Fatma Şahin,Ankara,4629.34,7,2024-01-17 09:00:00,N/A
10133,ahmet yılmaz,İZMİR,2926.25,8,2024-01-17 12:00:00,Elektronik
10134,AYŞE KAYA,bursa,1767.01,7,2024-01-17 15:00:00,N/A
10135,Mehmet  Demir,Istanbul,2975.03,6,2024-01-17 18:00:00,Ev
10136, Fatma Şahin,istanbul,162.88,1,2024-01-17 21:00:00,Ev
10137,ahmet yılmaz,Ankara,4794.87,7,2024-01-18 00:00:00,Elektronik
10138,AYŞE KAYA,İZMİR,2437.4,4,2024-01-18 03:00:00,?
10139,,bursa,3924.54,7,2024-01-18 06:00:00,Elektronik
10140, Fatma Şahin,Istanbul,459.51,5,2024-01-18 09:00:00,Giyim
10141,ahmet yılmaz,istanbul,2458.96,8,2024-01-18 12:00:00,?
10142,AYŞE KAYA,Ankara,2479.0,4,2024-01-18 15:00:00,Elektronik
10143,Mehmet  Demir,İZMİR,4692.24,9,2024-01-18 18:00:00,Ev
10144, Fatma Şahin,bursa,2880.05,8,2024-01-18 21:00:00,Ev
10145,,Istanbul,2393.77,3,2024-01-19 00:00:00,Elektronik
10146,AYŞE KAYA,istanbul,1371.53,5,2024-01-19 03:00:00,Giyim
10147,Mehmet  Demir,Ankara,1691.27,5,2024-01-19 06:00:00,Giyim
10148, Fatma Şahin,İZMİR,2627.33,7,2024-01-19 09:00:00,?
10149,ahmet yılmaz,bursa,2222.61,7,2024-01-19 12:00:00,N/A
10150,AYŞE KAYA,Istanbul,156.98,8,2024-01-19 15:00:00,N/A
10151,Mehmet  Demir,istanbul,4140.15,4,2024-01-19 18:00:00,Elektronik
10152,,Ankara,,5,2024-01-19 21:00:00,Elektronik
10153,ahmet yılmaz,İZMİR,744.23,4,2024-01-20 00:00:00,Elektronik
10154,AYŞE KAYA,bursa,2792.48,9,2024-01-20 03:00:00,Ev
10155,Mehmet  Demir,Istanbul,587.45,3,2024-01-20 06:00:00,Elektronik
10156, Fatma Şahin,istanbul,3377.59,6,2024-01-20 09:00:00,Giyim
10157,ahmet yılmaz,Ankara,1442.11,2,2024-01-20 12:00:00,N/A
10158,AYŞE KAYA,İZMİR,3314.14,8,2024-01-20 15:00:00,N/A
10159,Mehmet  Demir,bursa,3648.62,4,2024-01-20 18:00:00,N/A
10160, Fatma Şahin,Istanbul,,4,2024-01-20 21:00:00,Giyim
10161,ahmet yılmaz,istanbul,583.32,6,2024-01-21 00:00:00,?
10162,AYŞE KAYA,Ankara,4584.26,5,2024-01-21 03:00:00,?
10163,Mehmet  Demir,İZMİR,1189.56,8,2024-01-21 06:00:00,Elektronik
10164, Fatma Şahin,bursa,235.19,5,2024-01-21 09:00:00,Ev
10165,ahmet yılmaz,Istanbul,2796.52,5,2024-01-21 12:00:00,Ev
10166,AYŞE KAYA,istanbul,1886.07,1,2024-01-21 15:00:00,
10167,Mehmet  Demir,Ankara,4157.46,1,2024-01-21 18:00:00,?
10168, Fatma Şahin,İZMİR,4050.84,4,2024-01-21 21:00:00,?
10169,ahmet yılmaz,bursa,1619.84,9,2024-01-22 00:00:00,Ev
10170,AYŞE KAYA,Istanbul,4766.85,9,2024-01-22 03:00:00,?
10171,Mehmet  Demir,istanbul,1490.04,6,2024-01-22 06:00:00,?
10172, Fatma Şahin,Ankara,,6,2024-01-22 09:00:00,
10173,ahmet yılmaz,İZMİR,1317.03,4,2024-01-22 12:00:00,Giyim
10174,AYŞE KAYA,bursa,4683.42,2,2024-01-22 15:00:00,?
10175,Mehmet  Demir,Istanbul,864.81,1,2024-01-22 18:00:00,?
10176, Fatma Şahin,istanbul,272.31,4,2024-01-22 21:00:00,N/A
10177,ahmet yılmaz,Ankara,2203.73,3,2024-01-23 00:00:00,Elektronik
10178,AYŞE KAYA,İZMİR,4962.26,2,2024-01-23 03:00:00,Ev
10179,Mehmet  Demir,bursa,4463.8,3,2024-01-23 06:00:00,N/A
10180, Fatma Şahin,Istanbul,3755.61,1,2024-01-23 09:00:00,Ev
10181,,istanbul,4459.42,6,2024-01-23 12:00:00,N/A
10182,AYŞE KAYA,Ankara,4472.56,9,2024-01-23 15:00:00,Elektronik
10183,Mehmet  Demir,İZMİR,2618.35,7,2024-01-23 18:00:00,Elektronik
10184,,bursa,1613.85,5,2024-01-23 21:00:00,?
10185,ahmet yılmaz,Istanbul,3871.46,4,2024-01-24 00:00:00,Giyim
10186,AYŞE KAYA,istanbul,3325.22,3,2024-01-24 03:00:00,Ev
10187,Mehmet  Demir,Ankara,1899.61,2,2024-01-24 06:00:00,Ev
10188, Fatma Şahin,İZMİR,517.61,6,2024-01-24 09:00:00,Ev
10189,ahmet yılmaz,bursa,3746.61,6,2024-01-24 12:00:00,N/A
10190,AYŞE KAYA,Istanbul,1349.18,1,2024-01-24 15:00:00,Elektronik
10191,Mehmet  Demir,istanbul,4687.23,4,2024-01-24 18:00:00,?
10192, Fatma Şahin,Ankara,1242.8,3,2024-01-24 21:00:00,N/A
10193,ahmet yılmaz,İZMİR,657.65,2,2024-01-25 00:00:00,?
10194,AYŞE KAYA,bursa,4164.01,7,2024-01-25 03:00:00,Giyim
10195,Mehmet  Demir,Istanbul,808.76,5,2024-01-25 06:00:00,Elektronik
10196, Fatma Şahin,istanbul,937.38,6,2024-01-25 09:00:00,?
10197,ahmet yılmaz,Ankara,,7,2024-01-25 12:00:00,Ev
10198,,İZMİR,4379.08,9,2024-01-25 15:00:00,Elektronik
10199,Mehmet  Demir,bursa,,8,2024-01-25 18:00:00,Giyim
