siparis_id,musteri_id,musteri_adi,cinsiyet,yas,sehir,ilce,urun_id,urun_adi,kategori,marka,fiyat,adet,indirim_orani,kargo_ucreti,odeme_tipi,siparis_durumu,tarih,teslim_tarihi,toplam_harcama,musteri_puani,sadakat_seviyesi,kampanya_kodu,urun_puani,yorum_sayisi
100001,278,Arifcan Öcalan,Erkek,37,İzmir,Konak,5012,Zara Oversize Ceket,Giyim,Zara,1211.06,2,5,0.0,Kredi Kartı,Tamamlandı,01-03-2025 19:59:47,04-03-2025 04:59:47,2301.01,3.9,Gold,,4.4,23
100002,63,Toktuğ Ertaş,Erkek,40,İstanbul,Kartal,5051,Fisher-Price Aktivite Masası,Oyuncak,Fisher-Price,1019.65,1,120,0.0,Havale/EFT,Tamamlandı,31-06-2025 11:11:11,27-09-2024 12:48:02,1699.68,5.0,Bronze,,3.7,12
100003,367,Esenbay Şama,Erkek,38,Ankara,Yenimahalle,5026,Bioderma Sensibio Micellar Su,Kozmetik,Bioderma,400.17,5,0,0.0,Havale/EFT,Tamamlandı,04-02-2026 18:30:16,10-02-2026 22:30:16,2000.85,3.1,Platinum,,4.6,172
100004,213,Ercihan Arsoy,Erkek,41,Ankara,Etimesgut,5017,Puma Smash V2,Ayakkabı,Puma,2074.38,1,0,0.0,Havale/EFT,İade,15-10-2025 05:24:36,19-10-2025 22:24:36,2074.38,4.9,Bronze,,3.8,33
100005,283,Arıpınar Demir,Kadın,47,Kayseri,Kocasinan,5029,Madame Coco Halı,Ev & Yaşam,Madame Coco,2132.85,3,30,0.0,Kredi Kartı,Tamamlandı,26-07-2025 01:35:20,30-07-2025 00:35:20,4478.98,3.9,Gold,,5.8,11
100006,198,Razı Hayrioğlu,Erkek,46,Kocaeli,İzmit,5031,Tarz Mobilya Sehpa,Ev & Yaşam,Tarz,2368.34,1,150,0.0,Kredi Kartı,Tamamlandı,25-08-2025 03:37:49,30-08-2025 17:37:49,1776.26,3.8,Bronze,INDIRIM10,4.1,16
100007,336,Ünal Akar,Kadın,47,Kocaeli,İzmit,5030,Bellona Yatak Örtüsü Seti,Ev & Yaşam,Bellona,1012.61,1,10,0.0,Kredi Kartı,Tamamlandı,03-05-2025 19:25:42,08-05-2025 05:25:42,911.35,2.9,Silver,,4.3,285
100008,278,Arifcan Öcalan,Erkek,37,İstanbul,Beşiktaş,5015,Nike Air Max 270,Ayakkabı,Nike,4320.51,4,30,0.0,Havale/EFT,Tamamlandı,09-09-2024 23:04:26,16-09-2024 02:04:26,12097.43,3.9,Gold,,2.9,0
100009,15,Gürten Dumanlı,Kadın,27,İstanbul,Kadıköy,5018,Skechers Yürüyüş Ayakkabısı,Ayakkabı,Skechers,2086.77,1,0,0.0,Kredi Kartı,Tamamlandı,02-12-2024 06:11:20,04-12-2024 08:11:20,2086.77,3.9,Bronze,,3.9,30
100010,318,Şemsinisa Şensoy,Kadın,22,Konya,Meram,5058,Torku Zeytinyağı 5L,Süpermarket,Torku,845.79,1,10,0.0,Kredi Kartı,Tamamlandı,20-09-2025 10:28:20,27-09-2025 03:28:20,761.21,3.1,Bronze,KARGOBEDAVA,4.1,5
100011,301,Gücal Ülker,Erkek,42,Ankara,Mamak,5044,Prima Bebek Bezi Jumbo Paket,Anne & Bebek,Prima,337.51,3,0,0.0,Kredi Kartı,Tamamlandı,29-01-2025 13:53:06,04-02-2025 00:53:06,1551.89,3.5,Bronze,,3.7,128
100012,12,Şazime Yıldırım,Kadın,34,Kocaeli,Gebze,5017,Puma Smash V2,Ayakkabı,Puma,1505.67,3,15,0.0,Dijital Cüzdan,İptal,22-10-2025 10:25:12,25-10-2025 05:25:12,3839.46,3.2,Bronze,,3.8,-18
100013,326,Müşüre Çorlu,Kadın,54,İstanbul,Bakırköy,5043,Faber-Castell Boya Kalemi Seti,Kitap & Hobi,Faber-Castell,248.23,3,10,29.99,Havale/Eft,İptal,31-04-2025 09:15:00,27-03-2026 15:26:07,700.21,4.8,Bronze,HOSGELDIN15,3.7,205
100014,47,Saba Gül,Erkek,26,Denizli,Merkezefendi,5047,Mamas & Papas Bebek Bavulu,Anne & Bebek,Mamas & Papas,2132.4,1,15,0.0,Kapıda Ödeme,Tamamlandı,27-10-2025 09:55:20,03-11-2025 14:55:20,1812.54,3.9,Gold,KARGOBEDAVA,3.7,10
